obstacle_type;obstacle_type_name;details
ordinary_ground;Ordinary ground;Ordinary ground (uncultivated, occasional presence of people)
agricultural_land;Agricultural land;Agricultural land and land used in various ways (private road, road in industrial site, campsite)
high_clearance_equipment_area;High clearance equipment area;Area for operation of agricultural or industrial equipment of large height H (>5m)
traffic_lane;Traffic lane;Traffic lane (including rural road leading to a traffic lane)
high_clearance_vehicle_route;High clearance vehicle route;Route for vehicles of large height H (>5m)
silo_proximity;Silo proximity;Proximity to silo (H = height of the upper part of the filling opening)
accessible_building;Accessible building;Building accessible to people and protruding parts (including footbridge, balcony, terrace, sports equipment installation, chimney on a roof, etc.)
non_accessible_structure;Non-accessible structure;Ground structures and protruding parts of buildings not normally accessible to people (e.g. antenna on a roof)
vegetation;Vegetation;Vegetation (must also account for tree growth)
